year;fev;mar ;abr;mai;jun;jul;ago;set;out;nov;dez
1934;-4083;-1448;-2529;-740;-479;-446;-353;-213;-170;-26;-659
1935;3798;-99;1919;813;470;461;405;296;182;-498;-197
1936;-3427;979;389;-141;-118;-14;58;92;-206;-1111;-3128
1937;2406;-315;-58;146;9;-26;-99;-90;136;1292;2078
1938;-3326;502;32;-17;19;-16;15;9;-130;382;1982
1939;2045;-2590;-181;-63;-23;32;57;63;233;-1986;-1607
1940;1676;1247;-1908;-222;-199;-270;-180;-180;-333;1750;529
1941;-588;-791;1605;79;-85;130;0;-76;78;-1427;-2319
1942;-2590;-540;-677;-562;-270;-349;-252;-93;-244;-328;-1563
1943;1124;1111;283;402;225;205;184;161;332;1368;2992
1944;-2534;-1322;-5993;-1530;-707;-495;-408;-356;-592;-1758;-3139
1945;3724;874;4755;904;364;200;146;76;316;1277;3935
1946;-989;-2008;-823;158;70;27;47;-135;-101;-133;-1715
1947;833;2235;2195;563;256;186;193;382;221;258;-2881
1948;-8599;-1434;-856;-880;-569;-407;-399;-386;-447;-86;4121
1949;8398;2212;687;718;563;425;348;262;321;-675;-528
1950;-102;-812;-962;18;-42;-37;-37;35;274;1857;1808
1951;-1163;-4377;14;-331;-121;-90;-36;-158;-17;-1050;-1545
1952;3023;5156;837;555;403;359;266;257;-271;428;-175
1953;-1349;1313;818;227;185;190;184;219;600;-38;1098
1954;937;-179;-529;159;41;28;12;60;-366;-395;-1661
1955;270;-2067;786;-500;-518;-264;-216;-229;264;78;-279
1956;-2947;-2589;-3820;-1046;-396;-486;-387;-340;-446;-251;189
1957;1304;3935;3057;1062;545;340;300;192;-145;812;2449
1958;1564;-1035;593;420;310;318;205;262;350;-837;-121
1959;-2397;-1381;-789;-516;-317;-252;-170;-111;163;573;-2599
1960;-697;870;-61;-395;-175;-89;-78;-75;-49;511;2893
1961;907;1105;584;260;-30;-212;147;-15;-258;-644;-4507
1962;500;1089;572;555;353;274;-200;-109;122;506;4960
1963;-232;70;-165;33;146;153;136;111;-655;-2017;-1976
1964;-626;-4079;-1768;-839;-671;-586;-474;-362;-268;-142;195
1965;-1742;2075;601;71;-3;-37;-93;-133;75;1212;40
1966;2235;1051;219;238;198;235;205;221;640;-4;-962
1967;525;-2030;133;35;-72;-77;-74;-204;-413;173;864
1968;1136;2490;898;290;375;182;231;366;468;-540;-852
1969;-1744;-426;-482;-53;-139;45;-120;-318;-866;-137;1968
1970;2599;1128;857;549;524;489;549;684;1012;-575;-2650
1971;-340;-1101;-1175;-431;-419;-417;-356;-460;-524;350;1190
1972;-864;-861;-945;-202;-83;-35;-82;-85;-564;-1300;-43
1973;758;-14;127;-374;-244;-215;-85;96;654;2644;1356
1974;-930;2004;1025;480;365;256;229;140;9;-598;423
1975;1370;-101;848;98;-201;-176;-300;-411;193;-412;-1759
1976;-2341;250;-612;-13;75;195;311;369;-307;674;832
1977;303;-2659;-1265;-669;-604;-453;-380;-300;-195;-87;-1174
1978;-11184;-2307;-492;-447;-484;-300;-344;-470;-208;-1167;951
1979;5528;2897;-178;149;383;-63;3;164;227;761;-1181
1980;6563;589;470;351;159;337;205;214;-169;-2845;-1855
1981;-3129;-3514;-1409;-497;-351;-332;-311;-388;43;3467;4149
1982;-4302;208;-661;-1094;-197;-221;-9;114;-437;-2307;-5207
1983;8117;4044;2712;1829;832;701;439;151;668;2298;3622
1984;-4019;-2727;-152;-212;-109;-86;-62;63;-76;-254;291
1985;1676;2257;940;224;143;71;-5;73;273;491;898
1986;2382;162;-346;90;98;136;175;78;100;-172;-2026
1987;-961;-327;107;153;43;-5;-26;51;-92;-73;1303
1988;687;655;636;167;129;97;159;130;139;-267;-4071
1989;159;60;-46;-70;42;-29;23;-51;137;694;5445
1990;-979;-1957;-2570;-625;-265;-58;-134;-84;-305;-1064;-1255
1991;-9442;-311;1346;-298;-321;-323;-256;-265;-427;-1976;-3227
1992;8834;1530;577;563;338;271;269;303;361;2830;3230
1993;1483;-2198;-430;-93;-120;-59;-62;-16;314;-437;-182
1994;-351;2910;586;191;177;82;84;29;8;-126;-108
1995;885;136;327;167;59;92;-18;-7;-116;-440;526
1996;-784;-1730;-1184;-547;-385;-355;-260;-353;-286;885;-705
1997;-646;1320;1154;398;241;332;262;352;224;-604;276
1998;1581;-1215;80;216;202;42;79;128;232;466;141
1999;-2074;-117;-416;-257;-238;-213;-219;-368;-198;-595;-470
2000;2138;2010;718;516;567;593;574;612;277;598;1387
2001;-2087;-514;-181;-114;-225;-296;-307;-483;-236;-24;-402
2002;815;-318;-636;-270;-178;-20;-32;210;189;514;347
2003;-2169;-2202;-1582;-459;-190;-297;-317;-271;-261;-77;-778
2004;419;-637;1285;128;-58;-19;37;29;21;-930;-3197
2005;2534;1411;-366;71;73;33;8;17;-363;-390;-516
2006;-6974;815;788;74;-16;43;89;73;485;1155;4169
2007;5995;-227;-329;124;205;162;90;8;-209;-245;-719
2008;-1493;633;-1785;-358;-273;-248;-309;-396;-517;-743;245
2009;2667;249;1979;263;276;315;431;579;717;487;270
2010;52;-2713;-1351;-78;-328;-250;-340;-305;-392;166;-2135
2011;-1556;2862;1595;48;18;-7;96;-62;167;-484;2450
2012;707;333;-766;137;177;154;164;280;186;1044;-1812
2013;1065;511;1182;483;521;464;438;503;654;174;2001
2014;-112;-269;60;-195;-117;-117;-109;-286;-380;-147;596
2015;-143;439;600;446;330;199;95;155;55;-25;-407
2016;471;227;-62;-6;-6;49;99;132;256;310;-70
2017;-749;;;;;;;;;;
